country,n,prop_real,prop,text
Perú,234,0.4076655052264808,48,hay un 48% de probabilidad de que seas de <strong>Perú</strong>
Ecuador,158,0.27526132404181186,33,un 33% de que seas de <strong>Ecuador</strong>
México,46,0.08013937282229965,10,un 10% de que seas de <strong>México</strong>
España,25,0.04355400696864112,5,y un 5% de que seas de <strong>España</strong>
