Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
1262563569117401089,"Los niños no deben salir porque pueden ser victimas del abuso verbal de autoridades.
Así estamos. Y para esta enfermedad nadie esta buscando tratamiento. 
Pero Joaquín es brillante. Puede recordar la placa y jamás se va a equivocar. Es autista ¿y qué? https://t.co/z2k1L9Qsrc",Rosa María Palacios,rmapalacios,2020-05-19T01:59:46.000Z,Tue May 19 01:59:46 +0000 2020,113,35,es,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,,1,0,0
1262560599315267585,No se lo pierdan! https://t.co/pyrDh1MHgC,Rosa María Palacios,rmapalacios,2020-05-19T01:47:58.000Z,Tue May 19 01:47:58 +0000 2020,44,4,es,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,,1,0,0
1262560078340685824,"Desde hace 10 semanas agrupo mis columnas sobre el C19 en mi blog. Así, se pueden leer de corrido como un diario semanal. 
Nunca había escrito tanto tiempo sobre el mismo tema. Un día le pondré punto final. Ya extraño ese futuro hoy lejano.
#Dia64 

https://t.co/5eskK4W1Mn",Rosa María Palacios,rmapalacios,2020-05-19T01:45:54.000Z,Tue May 19 01:45:54 +0000 2020,74,9,es,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,,1,1,0
1262530771664941065,El video es de marzo y no corresponde a esas farmacias. https://t.co/bivcg4KGyC,Rosa María Palacios,rmapalacios,2020-05-18T23:49:27.000Z,Mon May 18 23:49:27 +0000 2020,106,15,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,,1,0,0
1262530543171895301,"La verdad es que los han abandonado. Me gustaría ayudarlos pero el gobierno no tiene ninguna plan concreto para ustedes. No hay un anuncio, una línea sobre el tema en estos días. https://t.co/C9tj7z5fmu",Rosa María Palacios,rmapalacios,2020-05-18T23:48:32.000Z,Mon May 18 23:48:32 +0000 2020,34,13,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,,1,0,0
1262530205580759042,Hombre de fe. https://t.co/WMg3oQWr1k,Rosa María Palacios,rmapalacios,2020-05-18T23:47:12.000Z,Mon May 18 23:47:12 +0000 2020,37,5,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,,1,0,0
1262529904198979585,En serio ¿que han hecho no solo por los museos sino por toda la oferta cultural que hoy está apagada? Ni una norma han sacado. https://t.co/k3uaBiLzPX,Rosa María Palacios,rmapalacios,2020-05-18T23:46:00.000Z,Mon May 18 23:46:00 +0000 2020,114,21,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,,1,0,0
1262529312844124160,"RT @anajarav : No podía ser de otra manera.
El @MimpPeru ente rector en la defensa de los derechos de las poblaciones vulnerables que incluye a los ADULTOS MAYORES, se pronuncia rechazando criterios discriminatorios en materia de atención de salud a las personas en razón de su edad😏
#Día63 🇵🇪 https://t.co/mOCagiMEMN",Rosa María Palacios,rmapalacios,2020-05-18T23:43:39.000Z,Mon May 18 23:43:39 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,1,1,1
1262528671245533184,"Buena noticia.
Esperemos que estén cerca. https://t.co/KjCOSiSqHL",Rosa María Palacios,rmapalacios,2020-05-18T23:41:06.000Z,Mon May 18 23:41:06 +0000 2020,118,13,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,,1,0,0
1262528447030706176,"RT @historia_cine : - Cinéfilos: nuestro querido ""Chupito"", ""Zambrano"" o ""General"", Pold Gastello. ¡Necesita de nuestro apoyo!
- Sabemos que está afectado por la ""Covid-19"" y está en UCI.
- Apelemos a nuestra buena voluntad para apoyarlo. Aquí dejamos la cuenta #BCP, de su hermana. ¡Se agradece RT! https://t.co/ZeYS10cjSZ",Rosa María Palacios,rmapalacios,2020-05-18T23:40:13.000Z,Mon May 18 23:40:13 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,https://pbs.twimg.com/media/EYUbQXnX0AEWWbW.jpg https://pbs.twimg.com/media/EYUbQkEWkAA9qKl.jpg ,0,1,0
1262527420290215939,"Una negociación debe buscar conciliar ambos intereses de manera temporal. Pagar en partes, por ejemplo, con cargo a mejores tiempos futuros con un plazo determinado. https://t.co/xsB7PHBqtp",Rosa María Palacios,rmapalacios,2020-05-18T23:36:08.000Z,Mon May 18 23:36:08 +0000 2020,48,12,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,,1,0,0
